This job can be monitored from: https://job.c3se.chalmers.se/alvis/3967338
>>> Training with SGD
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┃           2  ┃      0.0151  │     26.04 %  ┃      0.0148 │     27.57 %┃
┃           3  ┃      0.0132  │     38.34 %  ┃      0.0148 │     27.57 %┃
┃           3  ┃      0.0132  │     38.34 %  ┃      0.0125 │     40.41 %┃
┃           4  ┃      0.0135  │     40.34 %  ┃      0.0125 │     40.41 %┃
┃           4  ┃      0.0135  │     40.34 %  ┃      0.0133 │     41.56 %┃
┃           5  ┃      0.0107  │     51.06 %  ┃      0.0133 │     41.56 %┃
┃           5  ┃      0.0107  │     51.06 %  ┃      0.0107 │     50.26 %┃
┃           6  ┃      0.0096  │     56.96 %  ┃      0.0107 │     50.26 %┃
┃           6  ┃      0.0096  │     56.96 %  ┃      0.0097 │     57.88 %┃
┃           7  ┃      0.0088  │     62.02 %  ┃      0.0097 │     57.88 %┃
┃           7  ┃      0.0088  │     62.02 %  ┃      0.0091 │     61.56 %┃
┃           8  ┃      0.0076  │     67.00 %  ┃      0.0091 │     61.56 %┃
┃           8  ┃      0.0076  │     67.00 %  ┃      0.0074 │     68.56 %┃
┃           9  ┃      0.0059  │     74.02 %  ┃      0.0074 │     68.56 %┃
┃           9  ┃      0.0059  │     74.02 %  ┃      0.0058 │     74.42 %┃
┃          10  ┃      0.0058  │     75.22 %  ┃      0.0058 │     74.42 %┃
┃          10  ┃      0.0058  │     75.22 %  ┃      0.0058 │     74.97 %┃
┃          11  ┃      0.0050  │     78.04 %  ┃      0.0058 │     74.97 %┃
┃          11  ┃      0.0050  │     78.04 %  ┃      0.0051 │     77.73 %┃
┃          12  ┃      0.0061  │     73.72 %  ┃      0.0051 │     77.73 %┃
┃          12  ┃      0.0061  │     73.72 %  ┃      0.0061 │     73.58 %┃
┃          13  ┃      0.0045  │     80.06 %  ┃      0.0061 │     73.58 %┃
┃          13  ┃      0.0045  │     80.06 %  ┃      0.0047 │     79.88 %┃
┃          14  ┃      0.0048  │     78.94 %  ┃      0.0047 │     79.88 %┃
┃          14  ┃      0.0048  │     78.94 %  ┃      0.0045 │     80.27 %┃
┃          15  ┃      0.0046  │     80.62 %  ┃      0.0045 │     80.27 %┃
┃          15  ┃      0.0046  │     80.62 %  ┃      0.0047 │     80.02 %┃
┃          16  ┃      0.0047  │     80.02 %  ┃      0.0047 │     80.02 %┃
┃          16  ┃      0.0047  │     80.02 %  ┃      0.0048 │     79.60 %┃
┃          17  ┃      0.0055  │     76.34 %  ┃      0.0048 │     79.60 %┃
┃          17  ┃      0.0055  │     76.34 %  ┃      0.0061 │     75.08 %┃
┃          18  ┃      0.0043  │     80.56 %  ┃      0.0061 │     75.08 %┃
┃          18  ┃      0.0043  │     80.56 %  ┃      0.0044 │     80.95 %┃
┃          19  ┃      0.0041  │     82.28 %  ┃      0.0044 │     80.95 %┃
┃          19  ┃      0.0041  │     82.28 %  ┃      0.0042 │     81.74 %┃
┃          20  ┃      0.0062  │     74.20 %  ┃      0.0042 │     81.74 %┃
┃          20  ┃      0.0062  │     74.20 %  ┃      0.0061 │     74.91 %┃
┃          21  ┃      0.0040  │     81.86 %  ┃      0.0061 │     74.91 %┃
┃          21  ┃      0.0040  │     81.86 %  ┃      0.0042 │     82.10 %┃
┃          22  ┃      0.0043  │     81.08 %  ┃      0.0042 │     82.10 %┃
┃          22  ┃      0.0043  │     81.08 %  ┃      0.0043 │     82.30 %┃
┃          23  ┃      0.0039  │     82.22 %  ┃      0.0043 │     82.30 %┃
┃          23  ┃      0.0039  │     82.22 %  ┃      0.0039 │     83.15 %┃
┃          24  ┃      0.0038  │     83.66 %  ┃      0.0039 │     83.15 %┃
┃          24  ┃      0.0038  │     83.66 %  ┃      0.0038 │     83.62 %┃
┃          25  ┃      0.0036  │     84.34 %  ┃      0.0038 │     83.62 %┃
┃          25  ┃      0.0036  │     84.34 %  ┃      0.0034 │     85.17 %┃
┃          26  ┃      0.0038  │     82.64 %  ┃      0.0034 │     85.17 %┃
┃          26  ┃      0.0038  │     82.64 %  ┃      0.0039 │     83.13 %┃
┃          27  ┃      0.0041  │     82.42 %  ┃      0.0039 │     83.13 %┃
┃          27  ┃      0.0041  │     82.42 %  ┃      0.0041 │     83.02 %┃
